Main,Control,Specification,id,Constant,FDI,TRADE,GQI,ICT,GDPPC,SE,GFCF,Adj_R,F_stat,AR1,AR2,BP,Arch,Ramsey_Reset,SW_Normality
ECI_HS92 <- FDI_GDP,GDP_capita,"Model 2.ECI_HS92/(FDI_GDP, GDP_capita)",2,"7.033e-02 
(1.066e-01)","6.632e-03 
(6.936e-03)",-,-,-,"-3.434e-05** 
(1.551e-05)",-,-,0.4908,3.103000**,"1.417554 
(0.256826446706248)","1.850694 
(0.202856427622864)","10.586107 
(0.478560087031651)","0.059774 
(0.806854253847231)","1.104863 
(0.311007391853673)","0.980117 
(0.887421947569381)"
ECI_HS92 <- FDI_GDP,GFCF_GDP,"Model 3.ECI_HS92/(FDI_GDP, GFCF_GDP)",3,"0.856070 
(0.724809)","0.021446 
(0.014652)",-,-,-,-,-,"-0.045546 
(0.034898)",0.2902,1.818000,"0.964363 
(0.347195920151447)","12.474740*** 
(0.00191776947510074)","6.754532 
(0.873399606739196)","0.203325 
(0.652049989586669)","4.98353428718074** 
(0.0438081952596008)","0.986476 
(0.977287256559439)"
ECI_HS92 <- FDI_GDP,School_enrollment,"Model 4.ECI_HS92/(FDI_GDP, School_enrollment)",4,"1.902479*** 
(0.493144)","-0.023258* 
(0.011446)",-,-,-,-,"-0.021953*** 
(0.005270)",-,0.5738,4.231000***,"0.058687 
(0.812362585291798)","0.049192 
(0.952189596121984)","5.777285 
(0.833614787344392)","1.433238 
(0.231236791084346)","3.390680* 
(0.085427811703103)","0.973938 
(0.745282198814939)"
ECI_HS92 <- FDI_GDP,ICT_Index,"Model 6.ECI_HS92/(FDI_GDP, ICT_Index)",6,"-0.168000*** 
(0.057531)","0.001816 
(0.007350)",-,-,"-0.140293** 
(0.049328)",-,-,-,0.2686,2.193000*,"0.099253 
(0.756562244549651)","0.125517 
(0.882901080452755)","9.182804 
(0.327110458276423)","0.107930 
(0.742512946138127)","1.440979 
(0.244734211807346)","0.979282 
(0.845777052407852)"
ECI_HS92 <- FDI_GDP,"GDP_capita, Trade_GDP","Model 7.ECI_HS92/(FDI_GDP, GDP_capita, Trade_GDP)",7,"8.612e-01*** 
(1.838e-01)","1.425e-02** 
(5.693e-03)","-1.414e-02*** 
(2.932e-03)",-,-,"-1.948e-05* 
(1.042e-05)",-,-,0.7238,5.680000***,"0.677918 
(0.429502922338761)","0.746628 
(0.501181545326799)","15.896897 
(0.319711148264615)","2.606783 
(0.106407401869083)","1.353326 
(0.265606325106167)","0.984918 
(0.957608151835696)"
ECI_HS92 <- FDI_GDP,"GFCF_GDP, Trade_GDP","Model 8.ECI_HS92/(FDI_GDP, GFCF_GDP, Trade_GDP)",8,"0.5490837 
(1.0541440)","0.0410811 
(0.0253499)","0.0013117 
(0.0055425)",-,-,-,-,"-0.0440153 
(0.0415681)",0.3117,1.604000,"0.441690 
(0.53572663888035)","3.118304 
(0.152689053121434)","18.417017 
(0.428515299864872)","1.460798 
(0.22680314766825)","0.271218 
(0.616618867471506)","0.955357 
(0.329768315582002)"
ECI_HS92 <- FDI_GDP,"School_enrollment, Trade_GDP","Model 9.ECI_HS92/(FDI_GDP, School_enrollment, Trade_GDP)",9,"2.753066*** 
(0.612823)","-0.039370 
(0.022274)","-0.003327 
(0.003153)",-,-,-,"-0.028126*** 
(0.006285)",-,0.7317,4.850000**,"7.13419517459878** 
(0.0369776436989927)","4.244689* 
(0.0836460165898687)","15.378519 
(0.568237503982735)","0.001598 
(0.96811330395954)","5.19631679896017** 
(0.048598783093775)","0.964929 
(0.521054983279805)"
ECI_HS92 <- FDI_GDP,"GovQualityIndex, Trade_GDP","Model 10.ECI_HS92/(FDI_GDP, GovQualityIndex, Trade_GDP)",10,"0.3762851* 
(0.2036403)","0.0044467 
(0.0078832)","-0.0075906** 
(0.0032604)","0.0622680* 
(0.0337269)",-,-,-,-,0.2314,1.979000,"0.085696 
(0.773264643268708)","0.040529 
(0.960379102250768)","6.214369 
(0.623233178737585)","1.230899 
(0.267232260472428)","0.016893 
(0.89788672800932)","0.934600* 
(0.0896648076195153)"
ECI_HS92 <- FDI_GDP,"ICT_Index, Trade_GDP","Model 11.ECI_HS92/(FDI_GDP, ICT_Index, Trade_GDP)",11,"-0.301863 
(0.180621)","-0.008659 
(0.011523)","0.001450 
(0.002666)",-,"-0.240390** 
(0.073757)",-,-,-,0.7061,4.203000**,"1.859855 
(0.230828647862381)","0.940540 
(0.462600222072242)","17.884366 
(0.463294394741931)","0.066354 
(0.796721111001922)","1.463833 
(0.26085593751973)","0.983284 
(0.941511266781935)"
ECI_HS92 <- FDI_GDP,"GDP_capita, GFCF_GDP","Model 12.ECI_HS92/(FDI_GDP, GDP_capita, GFCF_GDP)",12,"2.375e-01 
(5.131e-01)","2.618e-02 
(1.633e-02)",-,-,-,"-1.180e-05 
(2.012e-05)",-,"-1.838e-02 
(2.641e-02)",0.4665,2.399000*,"0.832976 
(0.388089800003547)","1.276462 
(0.336795286376931)","9.208571 
(0.866361737182769)","0.038432 
(0.844577824794848)","4.400327* 
(0.0598385514215566)","0.924563* 
(0.0651458696346158)"
