Main,Control,Specification,id,Constant,ECI,TRADE,GQI,ICT,GDPPC,SE,GFCF,Adj_R,F_stat,AR1,AR2,BP,Arch,Ramsey_Reset,SW_Normality
FDI_GDP <- ECI_SITC,Trade_GDP,"Model 1.FDI_GDP/(ECI_SITC, Trade_GDP)",1,"-1.479445 
(6.417222)","5.853462 
(4.835933)","0.153567* 
(0.077675)",-,-,-,-,-,0.3584,2.117000,"0.058378 
(0.813523476360942)","2.488665 
(0.132686845872403)","14.433000 
(0.273916159736872)","0.591779 
(0.441732066008186)","0.177766 
(0.680188661564922)","0.957104 
(0.359824517461551)"
FDI_GDP <- ECI_SITC,GDP_capita,"Model 2.FDI_GDP/(ECI_SITC, GDP_capita)",2,"8.959e+00*** 
(2.892e+00)","2.141e+01** 
(8.204e+00)",-,-,-,"5.210e-04** 
(2.065e-04)",-,-,0.3125,2.212000*,"0.495444 
(0.493050714557314)","0.603180 
(0.561686028426746)","5.525274 
(0.786328599916473)","0.218288 
(0.640347801388356)","0.038730 
(0.846462336881117)","0.962850 
(0.474115696859886)"
FDI_GDP <- ECI_SITC,GFCF_GDP,"Model 3.FDI_GDP/(ECI_SITC, GFCF_GDP)",3,"-31.9618*** 
(10.0481)","13.9383*** 
(3.9068)",-,-,-,-,-,"1.9674*** 
(0.5127)",0.6615,5.264000***,"0.031216 
(0.862707031083617)","0.148256 
(0.863904910962811)","7.796192 
(0.731435975169826)","3.313472* 
(0.0687141769885075)","0.883329 
(0.363225692904821)","0.970492 
(0.657565343539588)"
FDI_GDP <- ECI_SITC,School_enrollment,"Model 4.FDI_GDP/(ECI_SITC, School_enrollment)",4,"36.14782** 
(15.31705)","-26.85151* 
(13.76740)",-,-,-,-,"-0.45249* 
(0.21273)",-,0.5565,3.316000**,"0.032067 
(0.861456544726447)","0.776317 
(0.488615652792166)","12.543427 
(0.483663818988805)","0.009139 
(0.923840427886658)","3.790867* 
(0.0753184640043803)","0.970119 
(0.648100370063043)"
FDI_GDP <- ECI_SITC,GovQualityIndex,"Model 5.FDI_GDP/(ECI_SITC, GovQualityIndex)",5,"6.11105 
(4.05966)","6.59568 
(11.01875)",-,"-0.68635 
(1.60882)",-,-,-,-,0.03587,1.099000,"0.010770 
(0.918815837820623)","0.270009 
(0.767550080092926)","14.080422 
(0.119493078274886)","0.009494 
(0.922379953350793)","1.514609 
(0.236223595955041)","0.926750* 
(0.0731381122753501)"
FDI_GDP <- ECI_SITC,ICT_Index,"Model 6.FDI_GDP/(ECI_SITC, ICT_Index)",6,"8.75465** 
(4.07822)","11.25900 
(8.56192)",-,-,"1.30318 
(1.56148)",-,-,-,0.1573,1.498000,"0.883382 
(0.36321170796657)","0.615220 
(0.555536538814936)","10.367416 
(0.321567542981691)","0.093780 
(0.759425006127258)","0.101146 
(0.754572056369837)","0.973258 
(0.728081733590241)"
FDI_GDP <- ECI_SITC,"GDP_capita, Trade_GDP","Model 7.FDI_GDP/(ECI_SITC, GDP_capita, Trade_GDP)",7,"-4.900e+00 
(9.903e+00)","1.311e+01 
(2.719e+01)","2.098e-01 
(1.485e-01)",-,-,"2.659e-04 
(7.593e-04)",-,-,0.311,1.677000,"0.000292 
(0.986839589279388)","5.78609780200165** 
(0.0398084863243858)","16.609660 
(0.411279748233414)","0.211032 
(0.645959912859286)","0.003582 
(0.953451757138433)","0.937552 
(0.129944726268518)"
FDI_GDP <- ECI_SITC,"GFCF_GDP, Trade_GDP","Model 8.FDI_GDP/(ECI_SITC, GFCF_GDP, Trade_GDP)",8,"-49.44949*** 
(11.16476)","14.88492** 
(4.74632)","0.16952* 
(0.08518)",-,-,-,-,"2.26747*** 
(0.52627)",0.7519,5.547000***,"0.335272 
(0.580717280284305)","0.588716 
(0.584179911250461)","13.923302 
(0.60442773430211)","0.033694 
(0.854358579446609)","0.000343 
(0.985596354396107)","0.976343 
(0.804446987061069)"
FDI_GDP <- ECI_SITC,"School_enrollment, Trade_GDP","Model 9.FDI_GDP/(ECI_SITC, School_enrollment, Trade_GDP)",9,"6.487e+01*** 
(1.272e+01)","-8.211e+01*** 
(1.611e+01)","3.168e-01*** 
(7.717e-02)",-,-,-,"-1.198e+00*** 
(2.283e-01)",-,0.8097,7.381000***,"0.133062 
(0.726049778096855)","3.087572 
(0.11968273261504)","11.124783 
(0.801718340030939)","0.409879 
(0.522031005616624)","0.360671 
(0.561497240575925)","0.879321*** 
(0.00669133993724945)"
FDI_GDP <- ECI_SITC,"GovQualityIndex, Trade_GDP","Model 10.FDI_GDP/(ECI_SITC, GovQualityIndex, Trade_GDP)",10,"-4.4961 
(8.1157)","25.8326** 
(9.2362)","0.2779** 
(0.1015)","-3.9655* 
(1.8327)",-,-,-,-,0.5603,2.799000*,"0.180539 
(0.685725731733391)","0.452179 
(0.659923308784804)","14.400453 
(0.638580536652927)","0.645495 
(0.421728098915282)","0.000515 
(0.982382915170564)","0.953486 
(0.299970591434909)"
FDI_GDP <- ECI_SITC,"ICT_Index, Trade_GDP","Model 11.FDI_GDP/(ECI_SITC, ICT_Index, Trade_GDP)",11,"-48.2932** 
(17.9059)","-39.8601* 
(17.2988)","0.5894** 
(0.1762)",-,"-8.4821** 
(3.1511)",-,-,-,0.57,2.988000*,"0.112986 
(0.746620735672639)","1.992885 
(0.216924765060135)","13.929488 
(0.603966930047646)","2.405312 
(0.120924024110045)","5.67098090538539** 
(0.0385213930177195)","0.881846*** 
(0.0075457010383273)"
FDI_GDP <- ECI_SITC,"GDP_capita, GFCF_GDP","Model 12.FDI_GDP/(ECI_SITC, GDP_capita, GFCF_GDP)",12,"-5.077e+01*** 
(1.436e+01)","1.730e+01** 
(7.603e+00)",-,-,-,"-7.463e-05 
(2.390e-04)",-,"2.929e+00*** 
(7.022e-01)",0.6348,3.979000**,"0.140376 
(0.716583327841315)","0.250896 
(0.784003909049383)","17.189858 
(0.246201448993039)","1.154002 
(0.282713001036411)","2.605425 
(0.132469646439584)","0.970364 
(0.654320307943577)"
FDI_GDP <- ECI_SITC,"GDP_capita, School_enrollment","Model 13.FDI_GDP/(ECI_SITC, GDP_capita, School_enrollment)",13,"6.465e+01*** 
(1.260e+01)","-3.742e+01** 
(1.310e+01)",-,-,-,"3.509e-04 
(2.981e-04)","-8.245e-01*** 
(1.597e-01)",-,0.6758,4.849000***,"0.000163 
(0.990051081783013)","1.076248 
(0.380992810299435)","12.965695 
(0.450465019024968)","1.630632 
(0.201615670119859)","0.872852 
(0.367196848767319)","0.990324 
(0.996375317859439)"
FDI_GDP <- ECI_SITC,"GDP_capita, GovQualityIndex","Model 14.FDI_GDP/(ECI_SITC, GDP_capita, GovQualityIndex)",14,"2.329e+01*** 
(5.449e+00)","8.033e+01*** 
(1.938e+01)",-,"-8.510e+00*** 
(1.609e+00)",-,"4.512e-04 
(3.895e-04)",-,-,0.7958,6.197000**,"0.881204 
(0.390969222126433)","5.728295* 
(0.0669718901509866)","20.100675 
(0.32718035193418)","0.084347 
(0.771490260892723)","0.033739 
(0.858832838205909)","0.923415* 
(0.0613163667655574)"
FDI_GDP <- ECI_SITC,"GDP_capita, ICT_Index","Model 15.FDI_GDP/(ECI_SITC, GDP_capita, ICT_Index)",15,"1.197e+01 
(9.287e+00)","5.169e+01* 
(2.657e+01)",-,-,"-6.844e+00 
(4.060e+00)","1.798e-03* 
(8.098e-04)",-,-,0.4174,1.955000,"0.257234 
(0.633597795942748)","14.4755684435266** 
(0.0147359851785532)","22.967894 
(0.191826913093857)","4.90208569194861** 
(0.0268242788614629)","0.230090 
(0.644296372319464)","0.978856 
(0.861517683778166)"
