Main,Control,Especificación,id,max_lag,Estadístico,cval1_I0,cval1_I1,cval5_I0,cval5_I1,cval10_I0,cval10_I1,conclusion
FDI_GDP <- ECI_SITC,Trade_GDP,"Model 1.FDI_GDP/(ECI_SITC, Trade_GDP)",1,"(4,2,4)",27.907247***,6.183,7.873,4.267,5.473,3.437,4.47,Cointeg 1%
FDI_GDP <- ECI_SITC,GDP_capita,"Model 2.FDI_GDP/(ECI_SITC, GDP_capita)",2,"(4,2,1)",85.516083***,6.183,7.873,4.267,5.473,3.437,4.47,Cointeg 1%
FDI_GDP <- ECI_SITC,GFCF_GDP,"Model 3.FDI_GDP/(ECI_SITC, GFCF_GDP)",3,"(4,1,4)",285.362686***,6.183,7.873,4.267,5.473,3.437,4.47,Cointeg 1%
FDI_GDP <- ECI_SITC,School_enrollment,"Model 4.FDI_GDP/(ECI_SITC, School_enrollment)",4,"(4,3,4)",22.837802***,6.183,7.873,4.267,5.473,3.437,4.47,Cointeg 1%
FDI_GDP <- ECI_SITC,GovQualityIndex,"Model 5.FDI_GDP/(ECI_SITC, GovQualityIndex)",5,"(4,2,1)",15.419092***,6.183,7.873,4.267,5.473,3.437,4.47,Cointeg 1%
FDI_GDP <- ECI_SITC,ICT_Index,"Model 6.FDI_GDP/(ECI_SITC, ICT_Index)",6,"(4,2,1)",102.971036***,6.183,7.873,4.267,5.473,3.437,4.47,Cointeg 1%
FDI_GDP <- ECI_SITC,"GDP_capita, Trade_GDP","Model 7.FDI_GDP/(ECI_SITC, GDP_capita, Trade_GDP)",7,"(4,2,4,3)",1156.200846***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_SITC,"GFCF_GDP, Trade_GDP","Model 8.FDI_GDP/(ECI_SITC, GFCF_GDP, Trade_GDP)",8,"(4,3,2,4)",373.390756***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_SITC,"School_enrollment, Trade_GDP","Model 9.FDI_GDP/(ECI_SITC, School_enrollment, Trade_GDP)",9,"(4,4,4,1)",459.445575***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_SITC,"GovQualityIndex, Trade_GDP","Model 10.FDI_GDP/(ECI_SITC, GovQualityIndex, Trade_GDP)",10,"(4,2,4,4)",801.396909***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_SITC,"ICT_Index, Trade_GDP","Model 11.FDI_GDP/(ECI_SITC, ICT_Index, Trade_GDP)",11,"(4,4,1,4)",211.052656***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_SITC,"GDP_capita, GFCF_GDP","Model 12.FDI_GDP/(ECI_SITC, GDP_capita, GFCF_GDP)",12,"(4,3,1,3)",588.767560***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_SITC,"GDP_capita, School_enrollment","Model 13.FDI_GDP/(ECI_SITC, GDP_capita, School_enrollment)",13,"(4,1,3,2)",155.489210***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_SITC,"GDP_capita, GovQualityIndex","Model 14.FDI_GDP/(ECI_SITC, GDP_capita, GovQualityIndex)",14,"(4,4,3,4)",511.721094***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_SITC,"GDP_capita, ICT_Index","Model 15.FDI_GDP/(ECI_SITC, GDP_capita, ICT_Index)",15,"(4,4,4,3)",2125.301755***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_SITC,"GFCF_GDP, School_enrollment","Model 16.FDI_GDP/(ECI_SITC, GFCF_GDP, School_enrollment)",16,"(4,4,4,3)",1504.693864***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_SITC,"GFCF_GDP, GovQualityIndex","Model 17.FDI_GDP/(ECI_SITC, GFCF_GDP, GovQualityIndex)",17,"(4,1,4,4)",401.461421***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_SITC,"GFCF_GDP, ICT_Index","Model 18.FDI_GDP/(ECI_SITC, GFCF_GDP, ICT_Index)",18,"(4,3,4,4)",9044.976705***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_SITC,"GovQualityIndex, School_enrollment","Model 19.FDI_GDP/(ECI_SITC, GovQualityIndex, School_enrollment)",19,"(4,3,4,4)",1898.067295***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_SITC,"ICT_Index, School_enrollment","Model 20.FDI_GDP/(ECI_SITC, ICT_Index, School_enrollment)",20,"(4,3,2,3)",335.096127***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_SITC,"GovQualityIndex, ICT_Index","Model 21.FDI_GDP/(ECI_SITC, GovQualityIndex, ICT_Index)",21,"(4,2,1,1)",154.285326***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
