Main,Control,Especificación,id,max_lag,Estadístico,cval1_I0,cval1_I1,cval5_I0,cval5_I1,cval10_I0,cval10_I1,conclusion
FDI_GDP <- ECI_HS92,Trade_GDP,"Model 1.FDI_GDP/(ECI_HS92, Trade_GDP)",1,"(4,3,1)",7.911362***,6.183,7.873,4.267,5.473,3.437,4.47,Cointeg 1%
FDI_GDP <- ECI_HS92,GDP_capita,"Model 2.FDI_GDP/(ECI_HS92, GDP_capita)",2,"(4,3,4)",32.417261***,6.183,7.873,4.267,5.473,3.437,4.47,Cointeg 1%
FDI_GDP <- ECI_HS92,GFCF_GDP,"Model 3.FDI_GDP/(ECI_HS92, GFCF_GDP)",3,"(4,1,4)",105.730518***,6.183,7.873,4.267,5.473,3.437,4.47,Cointeg 1%
FDI_GDP <- ECI_HS92,School_enrollment,"Model 4.FDI_GDP/(ECI_HS92, School_enrollment)",4,"(4,3,2)",37.935661***,6.183,7.873,4.267,5.473,3.437,4.47,Cointeg 1%
FDI_GDP <- ECI_HS92,GovQualityIndex,"Model 5.FDI_GDP/(ECI_HS92, GovQualityIndex)",5,"(4,1,1)",47.372379***,6.183,7.873,4.267,5.473,3.437,4.47,Cointeg 1%
FDI_GDP <- ECI_HS92,ICT_Index,"Model 6.FDI_GDP/(ECI_HS92, ICT_Index)",6,"(4,3,2)",20.888390***,6.183,7.873,4.267,5.473,3.437,4.47,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, Trade_GDP","Model 7.FDI_GDP/(ECI_HS92, GDP_capita, Trade_GDP)",7,"(4,3,4,4)",747.666767***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_HS92,"GFCF_GDP, Trade_GDP","Model 8.FDI_GDP/(ECI_HS92, GFCF_GDP, Trade_GDP)",8,"(4,1,3,1)",161.532486***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_HS92,"School_enrollment, Trade_GDP","Model 9.FDI_GDP/(ECI_HS92, School_enrollment, Trade_GDP)",9,"(4,1,3,4)",2170.229536***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_HS92,"GovQualityIndex, Trade_GDP","Model 10.FDI_GDP/(ECI_HS92, GovQualityIndex, Trade_GDP)",10,"(4,4,4,3)",49.511120***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_HS92,"ICT_Index, Trade_GDP","Model 11.FDI_GDP/(ECI_HS92, ICT_Index, Trade_GDP)",11,"(4,4,2,3)",29.991914***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GFCF_GDP","Model 12.FDI_GDP/(ECI_HS92, GDP_capita, GFCF_GDP)",12,"(4,2,3,2)",578.987477***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, School_enrollment","Model 13.FDI_GDP/(ECI_HS92, GDP_capita, School_enrollment)",13,"(4,1,4,3)",299.298854***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, GovQualityIndex","Model 14.FDI_GDP/(ECI_HS92, GDP_capita, GovQualityIndex)",14,"(4,4,2,4)",604.625514***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_HS92,"GDP_capita, ICT_Index","Model 15.FDI_GDP/(ECI_HS92, GDP_capita, ICT_Index)",15,"(4,3,4,4)",191.431096***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_HS92,"GFCF_GDP, School_enrollment","Model 16.FDI_GDP/(ECI_HS92, GFCF_GDP, School_enrollment)",16,"(4,2,2,3)",2388.453915***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_HS92,"GFCF_GDP, GovQualityIndex","Model 17.FDI_GDP/(ECI_HS92, GFCF_GDP, GovQualityIndex)",17,"(4,4,3,4)",3440.546519***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
FDI_GDP <- ECI_HS92,"GFCF_GDP, ICT_Index","Model 18.FDI_GDP/(ECI_HS92, GFCF_GDP, ICT_Index)",18,"(4,3,4,4)",974.134074***,5.333,7.063,3.71,5.018,3.008,4.15,Cointeg 1%
